CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30014,MATH,446,Applied Complex Variables,X3,LCD,120155,"Miles, Joseph B",2.79,4,14,2,0,6,0,4,8,2,0,0,2,4,2
31859,MATH,461,Probability Theory,EGR,ONL,120155,"Carpenter, Bruce",,,,,,,,,,,,,,,
38314,MATH,461,Probability Theory,ONL,ONL,120155,"Carpenter, Bruce",3.08,0,18,2,0,14,0,2,0,2,0,0,0,4,2
30095,MCB,100,Introductory Microbiology,A,LEC,120155,"Chapman, Kenneth",2.95,2,6,4,2,2,2,0,4,0,0,4,0,0,0
36346,MCB,150,Molec & Cellular Basis of Life,ONL,ONL,120155,"Mehrtens, Bradley G",2.77,14,18,14,12,12,18,10,10,18,4,6,0,4,2
36347,MCB,215,Foundation in Mol & Cell Bio,ONL,ONL,120155,"Mizzen, Craig A",2.69,0,0,2,6,2,8,0,6,2,0,0,0,0,0
36047,MCB,244,Human Anatomy & Physiology I,A,LEC,120155,"Brown, Chester M",3.08,4,4,36,42,10,28,6,12,4,2,0,0,0,0
36048,MCB,245,Human Anat & Physiol Lab I,A,LAB,120155,"Swigart, James P",2.83,2,2,8,8,8,8,4,2,0,2,0,4,0,0
36049,MCB,245,Human Anat & Physiol Lab I,B,LAB,120155,"Swigart, James P",2.33,2,0,2,6,8,2,6,12,8,4,0,0,2,0
30036,MCB,250,Molecular Genetics,ADA,DIS,120155,"Reedy, Melissa M",2.12,2,2,2,2,4,4,8,6,8,4,4,0,4,0
30038,MCB,250,Molecular Genetics,ADB,DIS,120155,"Reedy, Melissa M",2.82,6,2,8,2,6,4,6,0,8,0,0,0,2,0
34357,MCB,252,"Cells, Tissues & Development",ADB,DIS,120155,"Good, Elizabeth A",3.06,6,10,2,10,6,10,8,6,2,0,0,0,0,0
30724,MCB,450,Introductory Biochemistry,AL1,LEC,120155,"Levesque, Lyne",2.54,8,4,8,8,10,8,12,4,12,2,2,4,4,0
