CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120138,"Arai, Sayuri",3.72,6,16,5,3,2,3,0,0,0,0,0,0,0,0
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120138,"Arai, Sayuri",3.64,6,11,4,5,6,1,0,0,0,0,0,0,0,0
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120138,"Davis, Thomas E",3.75,2,24,1,2,4,1,1,0,0,0,0,0,0,0
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120138,"Davis, Thomas E",3.71,7,16,4,4,0,2,2,0,0,0,0,0,0,0
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120138,"Thomas, Merin A",3.7,4,12,6,3,2,2,0,0,0,0,0,0,0,0
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120138,"Thomas, Merin A",3.83,12,14,2,2,1,2,0,0,0,0,0,0,0,0
58092,AAS,287,Food and Asian Americans,A,LCD,120138,"Manalansan, Martin F",3.65,0,23,2,4,2,3,2,0,0,0,0,0,0,1
59944,AAS,291,Hinduism in the United States,RP,LCD,120138,"Pandharipande, R V",,,,,,,,,,,,,,,
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120138,"Ngo, Fiona",,,,,,,,,,,,,,,
45334,AAS,490,Adv Social Science Methods,KG4,LCD,120138,"Kwon, Soo Ah",,,,,,,,,,,,,,,
58576,AAS,561,Race and Cultural Critique,A,LCD,120138,"Koshy, Susan",,,,,,,,,,,,,,,
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120138,"Gates, Richard S",,,,,,,,,,,,,,,
10680,ABE,199,Sustainable Biosystems Intrntl,LFR,LCD,120138,"Rodriguez, Luis F",,,,,,,,,,,,,,,
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120138,"Grift, Tony E",3.54,3,24,8,2,6,0,0,3,0,0,2,0,0,0
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120138,"Kalita, Prasanta K",3.63,0,32,0,10,6,0,0,0,0,0,2,0,0,1
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120138,"Danao, Mary-Grace",2.82,1,2,3,3,5,7,2,3,2,0,1,0,0,0
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120138,"Hansen, Alan C",,,,,,,,,,,,,,,
36669,ABE,430,Project Management,A,LCD,120138,"Schideman, Lance C",3.06,0,15,12,15,53,15,5,7,4,0,0,0,0,0
49611,ABE,455,Erosion and Sediment Control,AB1,LBD,120138,"Kalita, Prasanta K",,,,,,,,,,,,,,,
29655,ABE,459,Drainage and Water Management,A3,LEC,120138,"Bhattarai, Rabin",,,,,,,,,,,,,,,
39805,ABE,459,Drainage and Water Management,A4,LEC,120138,"Cooke, Richard A",,,,,,,,,,,,,,,
56114,ABE,463,Electrohydraulic Systems,TEG,LEC,120138,"Grift, Tony E",,,,,,,,,,,,,,,
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120138,"Hansen, Alan C",3.26,0,6,13,6,4,2,2,3,0,0,1,0,0,0
29662,ABE,476,Indoor Air Quality Engineering,AL1,LEC,120138,"Zhang, Yuanhui",,,,,,,,,,,,,,,
29663,ABE,483,Engrg Properties of Food Matls,A,LEC,120138,"Rausch, Kent D",,,,,,,,,,,,,,,
57478,ABE,488,Bioprocessing Biomass for Fuel,VS,LEC,120138,"Singh, Vijay",3.47,0,5,9,6,2,0,1,1,0,0,0,0,0,0
39806,ABE,501,Graduate Research I,A,LCD,120138,"Zhang, Yuanhui",,,,,,,,,,,,,,,
29670,ACCY,200,Fundamentals of Accounting,A,LCD,120138,"Silhan, Peter A",3.02,2,29,20,20,16,15,15,9,4,2,1,2,3,0
39539,ACCY,200,Fundamentals of Accounting,B,LCD,120138,"Silhan, Peter A",3.08,0,23,25,27,23,20,9,3,4,1,6,1,0,0
36478,ACCY,201,Accounting and Accountancy I,AD1,DIS,120138,"Hennessy, James E",3.07,1,3,7,9,4,5,2,2,3,0,0,0,0,0
36482,ACCY,201,Accounting and Accountancy I,AD3,DIS,120138,"Hennessy, James E",3.04,0,5,9,8,2,6,3,2,0,0,3,0,0,0
36484,ACCY,201,Accounting and Accountancy I,AD4,DIS,120138,"Huang, John",3.13,2,6,7,5,6,4,2,1,3,0,1,0,0,0
36486,ACCY,201,Accounting and Accountancy I,AD6,DIS,120138,"Ledvora, Joseph A",2.95,2,4,5,5,5,7,5,1,1,0,1,0,1,0
36487,ACCY,201,Accounting and Accountancy I,AD7,DIS,120138,"Lin, Jonathan T",2.77,0,4,6,9,1,3,5,2,1,0,6,0,0,0
36489,ACCY,201,Accounting and Accountancy I,AD8,DIS,120138,"Huang, John",2.99,1,1,10,8,1,6,3,2,2,0,0,0,1,0
