CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120151,"Thomas, Merin A",3.19,0,8,7,1,6,6,0,2,0,0,0,0,1,0
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120151,"Thomas, Merin A",3.26,3,6,6,4,4,3,1,2,0,0,0,0,1,0
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120151,"Peralta, Christine N",3.39,0,17,4,6,0,0,1,0,0,0,0,0,3,0
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120151,"Peralta, Christine N",3.62,0,12,8,5,1,3,0,0,0,0,0,0,0,0
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120151,"Lee, Sang S",3.44,1,10,4,3,6,0,1,2,0,0,0,0,0,0
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120151,"Lee, Sang S",3.48,1,7,6,7,4,1,0,1,0,0,0,0,0,0
59194,AAS,120,Intro to Asian Am Pop Culture,B,LCD,120151,"Esguerra, Maria Paz G",3.35,6,7,5,2,0,3,3,0,1,0,0,0,1,0
52317,AAS,215,US Citizenship Comparatively,A,LCD,120151,"Bui, Long T",,,,,,,,,,,,,,,
62340,AAS,250,Filipina/o Americans,CA,LCD,120151,"Arnaldo, Constancio R",,,,,,,,,,,,,,,
51340,AAS,299,Creative Writ Marginal People,WC,LCD,120151,"Coyoca, Wilfred D",,,,,,,,,,,,,,,
46462,AAS,365,Asian American Media and Film,A,LCD,120151,"Cagle, Robert L",3.37,6,15,0,0,1,0,3,1,1,0,0,0,2,0
51232,AAS,390,"Immigration, Law, and Culture",NP,LCD,120151,"Paik, Angela N",,,,,,,,,,,,,,,
62099,AAS,501,Theory and Methods in AAS,A,LCD,120151,"Paik, Angela N",,,,,,,,,,,,,,,
52839,AAS,561,Race and Cultural Critique,A,LCD,120151,"Rana, Junaid",,,,,,,,,,,,,,,
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120151,"Bhalerao, Kaustubh",3.75,15,16,13,5,1,0,0,0,0,0,0,0,1,0
57089,ABE,225,ABE Principles: Bioenvironment,AE1,LCD,120151,"Zhang, Yuanhui",3.01,4,6,2,6,9,1,1,6,0,0,0,0,2,0
57086,ABE,226,ABE Principles: Bioprocessing,AE1,LCD,120151,"Singh, Vijay",3.38,13,7,5,4,5,0,1,1,0,0,1,0,2,0
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120151,"Grift, Tony E",3.76,2,28,3,4,2,2,1,0,0,0,0,0,0,0
47444,ABE,436,Renewable Energy Systems,XW1,LCD,120151,"Wang, Xinlei",3.41,4,10,16,14,11,1,1,4,0,0,0,0,0,0
51916,ABE,446,Biological Nanoengineering,KB1,LEC,120151,"Bhalerao, Kaustubh",,,,,,,,,,,,,,,
51917,ABE,446,Biological Nanoengineering,KB2,LEC,120151,"Bhalerao, Kaustubh",,,,,,,,,,,,,,,
29875,ABE,456,Land & Water Resources Engrg,G4,LEC,120151,"Bhattarai, Rabin",,,,,,,,,,,,,,,
40185,ABE,456,Land & Water Resources Engrg,U3,LEC,120151,"Bhattarai, Rabin",,,,,,,,,,,,,,,
51989,ABE,457,NPS Pollution Processes,RBH,LCD,120151,"Bhattarai, Rabin",,,,,,,,,,,,,,,
62504,ABE,458,NPS Pollution Modeling,MCC,LCD,120151,"Chu, Ma Librada C",,,,,,,,,,,,,,,
29872,ABE,469,Industry-Linked Design Project,AE1,LCD,120151,"Zahos, Stephen C",3.66,0,15,20,10,0,2,0,0,0,0,0,0,0,0
45418,ACCY,200,Fundamentals of Accounting,OL,ONL,120151,"Silhan, Peter A",3.15,4,34,34,20,21,13,5,11,6,2,4,1,1,0
30111,ACCY,200,Fundamentals of Accounting,TM,LCD,120151,"Polinski, Paul W",3.74,0,13,12,6,0,0,0,0,0,0,0,0,0,0
30112,ACCY,201,Accounting and Accountancy I,AD1,DIS,120151,"Pollard, Robert C",2.76,3,7,5,4,5,4,1,1,2,0,0,0,6,2
30113,ACCY,201,Accounting and Accountancy I,AD2,DIS,120151,"Pollard, Robert C",3.04,2,8,7,5,5,4,3,1,1,0,0,0,3,1
30114,ACCY,201,Accounting and Accountancy I,AD3,DIS,120151,"Michelson, Mark J",2.96,4,7,8,7,5,3,5,1,0,0,0,0,5,1
30115,ACCY,201,Accounting and Accountancy I,AD4,DIS,120151,"Michelson, Mark J",2.97,3,10,11,1,2,2,5,1,0,0,1,0,5,1
30116,ACCY,201,Accounting and Accountancy I,AD5,DIS,120151,"Korte, Brianne E",2.92,3,11,5,3,0,6,3,1,1,0,0,0,5,1
30117,ACCY,201,Accounting and Accountancy I,AD6,DIS,120151,"Korte, Brianne E",2.84,1,8,3,5,3,10,3,1,2,0,2,0,2,3
30147,ACCY,202,Accounting and Accountancy II,AD1,DIS,120151,"Jin, Yiyun",3.23,6,9,0,6,6,0,0,3,1,0,1,0,1,1
30121,ACCY,202,Accounting and Accountancy II,ADA,DIS,120151,"Jin, Yiyun",3.48,8,8,2,0,6,1,0,1,2,0,0,0,0,0
30123,ACCY,202,Accounting and Accountancy II,ADC,DIS,120151,"McConnell, Kelly R",3.25,1,10,0,8,7,2,0,1,1,0,0,0,1,0
30140,ACCY,202,Accounting and Accountancy II,ADG,DIS,120151,"Storto, Joseph M",3.03,1,7,2,8,4,2,2,5,0,0,2,0,0,0
30143,ACCY,202,Accounting and Accountancy II,ADH,DIS,120151,"Tong, Shuqing",3.4,7,7,1,9,1,2,1,0,1,0,0,0,1,2
30151,ACCY,202,Accounting and Accountancy II,ADJ,DIS,120151,"McConnell, Kelly R",3.73,6,17,1,5,3,2,0,0,0,0,0,0,0,0
30155,ACCY,202,Accounting and Accountancy II,ADK,DIS,120151,"Mora, Bradley J",3.31,1,7,3,10,6,2,1,2,0,0,0,0,0,0
30159,ACCY,202,Accounting and Accountancy II,ADL,DIS,120151,"Tong, Shuqing",3.3,1,8,1,9,8,1,1,1,1,0,0,0,0,0
30161,ACCY,202,Accounting and Accountancy II,ADM,DIS,120151,"Storto, Joseph M",3.26,3,7,0,10,4,3,2,1,0,0,1,0,0,0
30164,ACCY,202,Accounting and Accountancy II,ADN,DIS,120151,"Mora, Bradley J",3.38,4,12,2,5,4,1,2,3,1,0,0,0,0,0
30168,ACCY,202,Accounting and Accountancy II,ADO,DIS,120151,"Lie, Jeane Natalia",3.06,2,4,3,5,8,3,4,1,0,0,0,0,1,0
30171,ACCY,202,Accounting and Accountancy II,ADP,DIS,120151,"Koziel, Mark C",3.36,4,8,2,6,2,3,0,4,0,0,0,0,0,0
30176,ACCY,202,Accounting and Accountancy II,ADQ,DIS,120151,"Ladd, Dylan T",3.21,2,6,1,12,5,2,0,1,1,0,0,0,1,0
30179,ACCY,202,Accounting and Accountancy II,ADR,DIS,120151,"Ladd, Dylan T",3.24,5,5,1,9,4,2,1,3,0,0,1,0,0,0
30182,ACCY,202,Accounting and Accountancy II,ADS,DIS,120151,"Lie, Jeane Natalia",3.17,2,8,0,8,7,2,2,1,1,0,0,0,1,0
30186,ACCY,202,Accounting and Accountancy II,ADT,DIS,120151,"Koziel, Mark C",3.22,1,9,1,12,1,5,2,1,1,0,1,0,0,0
30192,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120151,"Wang, Zhiguang",3.05,1,3,6,3,7,10,3,2,0,0,0,0,0,0
30195,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120151,"Wang, Zhiguang",3.53,3,10,12,3,10,2,0,0,0,0,0,0,0,0
30197,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120151,"Wang, Zhiguang",3.36,2,6,11,6,10,3,0,2,0,0,0,0,0,0
30200,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120151,"Finnegan, Thomas",3.42,0,8,11,9,7,3,0,1,0,0,0,0,0,0
30201,ACCY,301,Atg Measurement & Disclosure,AE5,LCD,120151,"Finnegan, Thomas",3.51,0,9,14,17,1,2,0,1,0,0,0,0,0,0
60043,ACCY,302,Decision Making for Atg,AE1,LCD,120151,"Fanning, Kirsten B",3.42,0,8,8,17,2,1,2,1,0,0,0,0,0,0
30211,ACCY,302,Decision Making for Atg,AE2,LCD,120151,"Fanning, Kirsten B",3.15,0,2,9,12,6,1,4,2,1,0,0,0,0,0
30212,ACCY,302,Decision Making for Atg,AE3,LCD,120151,"Davis, Gregory L",3.33,0,3,13,9,5,4,2,0,0,0,0,0,0,0
30228,ACCY,302,Decision Making for Atg,AE5,LCD,120151,"Davis, Gregory L",3.42,0,6,12,11,7,2,1,0,0,0,0,0,0,0
30232,ACCY,302,Decision Making for Atg,AE6,LCD,120151,"Fanning, Kirsten B",3.19,0,3,12,7,6,7,3,0,0,1,0,0,0,0
30264,ACCY,303,Atg Institutions and Reg,AE1,LCD,120151,"Zhu, Wei",2.99,1,4,9,5,2,2,2,1,3,1,1,1,0,1
30267,ACCY,303,Atg Institutions and Reg,AE2,LCD,120151,"Zhu, Wei",3.38,2,6,9,4,6,2,2,0,1,0,0,0,0,0
30271,ACCY,303,Atg Institutions and Reg,AE3,LCD,120151,"Li, Yue",3.35,2,4,8,7,2,2,2,0,0,0,1,0,0,1
30274,ACCY,303,Atg Institutions and Reg,AE4,LCD,120151,"Zhu, Wei",3.1,1,7,3,2,5,1,1,0,1,1,1,1,0,0
30276,ACCY,303,Atg Institutions and Reg,AE5,LCD,120151,"Schwartz, Rachel",3.61,5,15,3,5,1,1,1,1,0,1,0,0,0,0
30278,ACCY,303,Atg Institutions and Reg,AE6,LCD,120151,"Schwartz, Rachel",3.35,5,11,3,3,3,4,0,1,2,0,0,1,0,0
46358,ACCY,303,Atg Institutions and Reg,AE7,LCD,120151,"Schwartz, Rachel",3.05,2,7,4,4,4,6,4,0,0,0,1,2,0,0
30286,ACCY,304,Accounting Control Systems,AE1,LCD,120151,"Fan, Qintao",3.41,1,10,7,5,8,4,0,0,1,0,0,0,0,0
30291,ACCY,304,Accounting Control Systems,AE3,LCD,120151,"Fan, Qintao",3.27,2,2,13,5,4,8,0,0,0,0,0,1,0,0
30294,ACCY,304,Accounting Control Systems,AE4,LCD,120151,"Fan, Qintao",3.35,3,8,6,3,9,5,0,0,0,0,1,0,0,0
30296,ACCY,304,Accounting Control Systems,AE5,LCD,120151,"Vance, Thomas W",3.39,0,8,9,11,3,1,1,0,1,1,0,0,0,0
30299,ACCY,304,Accounting Control Systems,AE6,LCD,120151,"Vance, Thomas W",3.52,0,9,7,9,7,0,0,0,0,0,0,0,0,0
