CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
32896,AAS,100,Intro Asian American Studies,1A,LCD,120135,"Kwon, Soo Ah",,,,,,,,,,,,,,,
37453,ACCY,200,Fundamentals of Accounting,ONL,ONL,120135,"Silhan, Peter A",3.18,3.0,3.0,3.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120135,"Asante Appiah, Bright",3.33,0.0,3.0,5.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120135,"Klevsky, Elena",,,,,,,,,,,,,,,
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120135,"Finnegan, Thomas",3.3,0.0,3.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120135,"Demere, Paul M",,,,,,,,,,,,,,,
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120135,"Grant, Stephanie M",3.29,3.0,3.0,6.0,3.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120135,"Estep, Cassandra R",,,,,,,,,,,,,,,
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120135,"Crowley, Richard M",,,,,,,,,,,,,,,
30080,ACCY,312,Principles of Taxation,A,LCD,120135,"Holder, Daniel E",3.39,2.0,15.0,1.0,1.0,10.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120135,"Hillison, Sean M",,,,,,,,,,,,,,,
30074,ACCY,405,Assurance and Attestation,AE2,LCD,120135,"Gordon, Shawn J",,,,,,,,,,,,,,,
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PT,LCD,120135,"Sandretto, Michael J",,,,,,,,,,,,,,,
30083,ACCY,501,Accounting Analysis I,A,LCD,120135,"Ibrahim, Adel Nematallah",3.62,0.0,16.0,9.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30086,ACCY,501,Accounting Analysis I,B,LCD,120135,"Ibrahim, Adel Nematallah",3.52,0.0,11.0,7.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32912,ACCY,501,Accounting Analysis I,C,LCD,120135,"Ibrahim, Adel Nematallah",3.54,0.0,9.0,11.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36386,ACCY,503,Managerial Accounting,CT,LCD,120135,"Carroll, Sandra",3.58,0.0,10.0,9.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120135,"Shaw, Jeffrey M",3.3,6.0,3.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37076,ACCY,557,Accounting Periods & Methods,CHI,LCD,120135,"Aquino, Glenn D",3.57,0.0,20.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
37074,ACCY,559,Tax Policy,CH1,LCD,120135,"Giertz, J F",3.69,0.0,9.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37075,ACCY,559,IRS Procedures,CH2,LCD,120135,"Meier, Walter K",3.56,1.0,9.0,9.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34580,ACCY,560,Information in Value Creation,B,LCD,120135,"Chandler, John S",3.81,4.0,16.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34342,ACCY,560,Information in Value Creation,CHI,LCD,120135,"Chandler, John S",3.91,14.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30104,ACCY,593,Special Research Problems,S,CNF,120135,"Peecher, Mark E",,,,,,,,,,,,,,,
37030,ACE,100,Agr Cons and Resource Econ,ONL,ONL,120135,"Gundersen, Lisa C",3.15,0.0,9.0,1.0,7.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
36921,ADV,310,Intro to Public Relations,ONL,ONL,120135,"Olson, Katrina M",3.59,7.0,24.0,14.0,9.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36343,ADV,350,Writing for Public Relations,ONL,ONL,120135,"Friedman, Judith S",,,,,,,,,,,,,,,
36501,ADV,399,Advertising Study Abroad,ROM,STA,120135,"DiBerardino, Linnea J",,,,,,,,,,,,,,,
34793,ADV,410,Advanced Public Relations,A,ONL,120135,"Olson, Katrina M",3.68,1.0,12.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37229,AFRO,598,Res Sem in African-Am Studies,0,CNF,120135,"Noble, Safiya U",,,,,,,,,,,,,,,
36961,AGCM,270,Sales Communications,ONL,ONL,120135,"Cupps-Miller, Heather A",3.24,0.0,17.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
37126,AGED,550,Advanced Program Delivery,GR,ONL,120135,"Clark, Richard W",,,,,,,,,,,,,,,
37374,AIS,275,Am Indian and Indigenous Film,1,LCD,120135,"Teves, Stephanie N",,,,,,,,,,,,,,,
30180,ANSC,110,Life With Animals and Biotech,1,LCD,120135,"Kesler, Darrel J",3.91,3.0,41.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36422,ANSC,207,Companion Animal Biology &Care,A,ONL,120135,"Brandt, Adam L",,,,,,,,,,,,,,,
36908,ANSC,331,Biology of Reproduction,A,ONL,120135,"Nowak, Romana A",,,,,,,,,,,,,,,
37669,ANSC,398,Undergraduate Research,A,CNF,120135,"Gaskins, H R",,,,,,,,,,,,,,,
36011,ANSC,542,Applied Bioinformatics,A,LCD,120135,"Rodriguez-Zas, Sandra L",3.84,0.0,28.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
36296,ANTH,103,Anthro in a Changing World,ONL,ONL,120135,"O' Brien, Kathleen C",3.05,7.0,29.0,28.0,10.0,21.0,8.0,3.0,8.0,3.0,1.0,1.0,2.0,9.0,0.0
37322,ANTH,105,World Archaeology,1,LCD,120135,"Bauer, Andrew",,,,,,,,,,,,,,,
