CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120131,"Arnaldo, Constancio",,,,,,,,,,,,,,,
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120131,"Arnaldo, Constancio",,,,,,,,,,,,,,,
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120131,"Davis, Thomas E",3.27,0,5,1,6,5,3,0,1,0,0,0,0,0,0
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120131,"Davis, Thomas E",,,,,,,,,,,,,,,
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120131,"Carter, Regina S",,,,,,,,,,,,,,,
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120131,"Carter, Regina S",,,,,,,,,,,,,,,
51886,AAS,100,Intro Asian American Studies,B,LCD,120131,"Mariano, Lorena",3.54,0,11,11,4,3,3,0,1,0,0,0,0,0,0
59194,AAS,120,Intro to Asian Am Pop Culture,B,LCD,120131,"Chin, Christina B",3.0,0,8,1,4,5,6,0,2,3,0,1,0,0,0
52317,AAS,215,US Citizenship Comparatively,A,LCD,120131,"Cacho, Lisa M",,,,,,,,,,,,,,,
57231,AAS,246,Asian American Youth in Film,A,LCD,120131,"Kwon, Soo Ah",3.75,1,21,4,3,4,1,0,0,0,0,0,0,0,0
48574,AAS,299,Politics Hip Hop/Urban Space,DC,LCD,120131,"Coyoca, Wilfred D",,,,,,,,,,,,,,,
55769,AAS,315,"War, Memory, and Cinema",A,LCD,120131,"Ngo, Fiona",,,,,,,,,,,,,,,
46462,AAS,365,Asian American Media and Film,A,LCD,120131,"Ngo, Fiona",,,,,,,,,,,,,,,
52839,AAS,561,Race and Cultural Critique,A,LCD,120131,"Rana, Junaid",,,,,,,,,,,,,,,
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120131,"Danao, Mary-Grace",3.27,3,15,9,10,5,6,2,1,1,1,1,0,1,0
57089,ABE,225,ABE Principles: Bioenvironment,AE1,LCD,120131,"Zhang, Yuanhui",3.13,1,7,8,9,19,2,0,2,0,0,2,0,1,0
57086,ABE,226,ABE Principles: Bioprocessing,AE1,LCD,120131,"Singh, Vijay",3.14,3,10,6,8,12,1,4,3,3,0,0,1,0,0
29865,ABE,374,Environ Control for Buildings,AL1,LEC,120131,"Green, Angela R",,,,,,,,,,,,,,,
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120131,"Grift, Tony E",3.49,5,12,0,5,11,0,1,1,0,0,0,0,0,0
47444,ABE,436,Renewable Energy Systems,XW1,LCD,120131,"Wang, Xinlei",3.39,4,18,8,10,6,12,2,0,2,0,0,0,0,0
51916,ABE,446,Biological Nanoengineering,KB1,LEC,120131,"Bhalerao, Kaustubh",,,,,,,,,,,,,,,
51917,ABE,446,Biological Nanoengineering,KB2,LEC,120131,"Bhalerao, Kaustubh",,,,,,,,,,,,,,,
29875,ABE,456,Land & Water Resources Engrg,G4,LEC,120131,"Kalita, Prasanta K",,,,,,,,,,,,,,,
40185,ABE,456,Land & Water Resources Engrg,U3,LEC,120131,"Kalita, Prasanta K",3.76,0,17,0,2,2,0,0,1,0,0,0,0,0,0
51990,ABE,458,NPS Pollution Modeling,RC1,LCD,120131,"Cooke, Richard A",,,,,,,,,,,,,,,
29872,ABE,469,Industry-Linked Design Project,AE1,LCD,120131,"Zahos, Stephen C",3.56,0,18,12,6,11,2,0,0,0,0,0,0,0,0
58739,ABE,498,Sustainable Biosystems Lab,LB1,LBD,120131,"Rodriguez, Luis F",,,,,,,,,,,,,,,
29881,ABE,502,Graduate Research II,E,DIS,120131,"Gates, Richard S",,,,,,,,,,,,,,,
58177,ABE,598,Engrng Princ of Agr Machines,AH1,LEC,120131,"Hansen, Alan C",,,,,,,,,,,,,,,
58179,ABE,598,Robotics for Bioproduction Sys,KCT,LEC,120131,"Ting, Kuan C",,,,,,,,,,,,,,,
45418,ACCY,200,Fundamentals of Accounting,A,LCD,120131,"Silhan, Peter A",2.82,1,7,6,7,8,7,3,5,4,3,2,0,0,0
56973,ACCY,200,Fundamentals of Accounting,B,LCD,120131,"Silhan, Peter A",2.95,2,28,15,11,10,6,6,9,6,2,4,5,1,0
30111,ACCY,200,Fundamentals of Accounting,TM,LCD,120131,"Finnegan, Thomas",3.98,0,28,0,1,0,0,0,0,0,0,0,0,0,0
30112,ACCY,201,Accounting and Accountancy I,AD1,DIS,120131,"Ettleson, Daniel A",2.88,2,6,8,5,6,5,0,4,2,0,3,0,2,0
30113,ACCY,201,Accounting and Accountancy I,AD2,DIS,120131,"Ettleson, Daniel A",3.18,2,7,11,6,5,4,2,0,1,0,2,0,1,0
30114,ACCY,201,Accounting and Accountancy I,AD3,DIS,120131,"Ellison, Jennifer L",2.62,2,6,9,3,3,2,4,4,1,0,7,0,3,0
30115,ACCY,201,Accounting and Accountancy I,AD4,DIS,120131,"Braverman, Ian H",3.07,4,9,5,8,4,7,0,0,2,0,4,0,1,0
30116,ACCY,201,Accounting and Accountancy I,AD5,DIS,120131,"Braverman, Ian H",2.68,2,1,5,3,7,13,2,1,3,0,2,0,2,1
30117,ACCY,201,Accounting and Accountancy I,AD6,DIS,120131,"Strukoff, Ryan S",3.2,2,8,9,5,8,4,1,2,1,0,2,0,0,0
45631,ACCY,201,Accounting and Accountancy I,AD7,DIS,120131,"Strukoff, Ryan S",3.05,5,8,4,7,8,2,4,2,1,0,3,0,1,0
30147,ACCY,202,Accounting and Accountancy II,AD1,DIS,120131,"Dettloff, Kevin R",3.3,4,8,0,11,10,4,0,0,0,0,0,0,1,0
30121,ACCY,202,Accounting and Accountancy II,ADA,DIS,120131,"Foley, Paul R",3.13,6,4,0,10,6,7,0,3,0,0,0,0,1,0
30123,ACCY,202,Accounting and Accountancy II,ADC,DIS,120131,"Foley, Paul R",3.28,9,5,0,16,3,2,2,1,0,0,1,0,1,0
30140,ACCY,202,Accounting and Accountancy II,ADG,DIS,120131,"Wirt, Justin R",3.19,6,5,2,4,5,5,1,2,1,0,1,0,0,0
30143,ACCY,202,Accounting and Accountancy II,ADH,DIS,120131,"Pelella, Andrea E",3.17,4,7,0,10,8,5,0,1,1,0,2,0,0,0
30151,ACCY,202,Accounting and Accountancy II,ADJ,DIS,120131,"Pelella, Andrea E",3.49,3,16,1,9,7,2,0,1,1,0,0,0,0,0
30155,ACCY,202,Accounting and Accountancy II,ADK,DIS,120131,"Dettloff, Kevin R",3.52,2,18,2,5,8,2,1,0,1,0,0,0,0,0
30159,ACCY,202,Accounting and Accountancy II,ADL,DIS,120131,"Jang, Paul H",3.27,2,9,2,11,10,1,3,1,0,0,1,0,0,0
30161,ACCY,202,Accounting and Accountancy II,ADM,DIS,120131,"Wirt, Justin R",3.4,4,11,1,10,8,1,3,1,0,0,0,0,0,0
30164,ACCY,202,Accounting and Accountancy II,ADN,DIS,120131,"Arvin, Kyle C",3.3,4,10,2,8,10,2,0,0,2,0,0,0,1,0
30168,ACCY,202,Accounting and Accountancy II,ADO,DIS,120131,"Jang, Paul H",3.32,5,8,1,12,10,1,0,0,2,0,1,0,0,0
30171,ACCY,202,Accounting and Accountancy II,ADP,DIS,120131,"Miller, Bethany C",3.31,1,10,1,13,8,3,0,0,1,0,1,0,0,0
30176,ACCY,202,Accounting and Accountancy II,ADQ,DIS,120131,"Forsberg, Brian J",3.32,9,6,2,12,5,2,0,1,2,0,0,0,1,0
30179,ACCY,202,Accounting and Accountancy II,ADR,DIS,120131,"Forsberg, Brian J",3.22,2,8,0,17,3,8,0,1,0,0,0,0,1,0
30182,ACCY,202,Accounting and Accountancy II,ADS,DIS,120131,"Arvin, Kyle C",3.23,2,9,0,12,8,4,1,2,0,0,1,0,0,0
30186,ACCY,202,Accounting and Accountancy II,ADT,DIS,120131,"Miller, Bethany C",3.48,2,15,2,12,4,2,2,1,0,0,0,0,0,0
30192,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120131,"Rennekamp, Kristina M",3.27,1,6,7,7,4,2,5,1,0,0,0,0,0,0
30195,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120131,"Rennekamp, Kristina M",3.61,2,10,11,7,4,1,0,0,0,0,0,0,0,0
30197,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120131,"Rennekamp, Kristina M",3.38,0,7,8,11,5,3,2,0,0,0,0,0,0,0
30200,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120131,"Zhou, Hailan",3.44,3,6,8,3,2,1,3,1,0,0,0,0,0,0
30201,ACCY,301,Atg Measurement & Disclosure,AE5,LCD,120131,"Zhou, Hailan",3.36,1,4,10,11,5,2,0,2,0,0,0,0,0,0
30209,ACCY,302,Decision Making for Atg,AE1,LCD,120131,"Black, William H",3.19,0,5,5,7,10,4,0,1,0,0,1,0,0,0
