CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120141,"Thomas, Merin A",3.64,1.0,17.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120141,"Thomas, Merin A",3.8,8.0,19.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120141,"Kim, Sujung",3.84,9.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120141,"Kim, Sujung",3.88,11.0,16.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120141,"Livingston, Susan B",3.84,0.0,27.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120141,"Livingston, Susan B",3.73,0.0,17.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54572,AAS,100,Intro Asian American Studies,C,LCD,120141,"Kwon, Yaejoon",3.57,3.0,10.0,7.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59194,AAS,120,Intro to Asian Am Pop Culture,B,LCD,120141,"Chin, Christina B",3.44,2.0,7.0,10.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57231,AAS,246,Asian American Youth in Film,A,LCD,120141,"Kwon, Soo Ah",3.58,0.0,28.0,12.0,2.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
51340,AAS,299,Creative Writ Marginal People,WC,LCD,120141,"Coyoca, Wilfred D",,,,,,,,,,,,,,,
46462,AAS,365,Asian American Media and Film,A,LCD,120141,"Clutario, Genevieve A",,,,,,,,,,,,,,,
52839,AAS,561,Race and Cultural Critique,A,LCD,120141,"Rana, Junaid",,,,,,,,,,,,,,,
54768,ABE,141,ABE Principles: Biological,MGD,LEC,120141,"Danao, Mary-Grace",3.12,0.0,4.0,14.0,12.0,8.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
57089,ABE,225,ABE Principles: Bioenvironment,AE1,LCD,120141,"Zhang, Yuanhui",3.38,1.0,13.0,9.0,6.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
57086,ABE,226,ABE Principles: Bioprocessing,AE1,LCD,120141,"Singh, Vijay",2.99,6.0,5.0,5.0,8.0,5.0,3.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0
29865,ABE,374,Environ Control for Buildings,AL1,LEC,120141,"Green, Angela R",,,,,,,,,,,,,,,
