CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
36182,MUS,241,Music for Elementary Teachers,D,LCD,120101,"Wachtel, Donald J",,,,,,,,,,,,,,,
35545,MUS,242,Elements of Conducting,A,LCD,120101,"Daeschler, Jeffrey T",3.7,2.0,11.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35547,MUS,242,Elements of Conducting,D,LCD,120101,"Cox, John K",,,,,,,,,,,,,,,
36158,MUS,243,Introductory Music Ed Tech,A,CNF,120101,"Thibeault, Matthew D",,,,,,,,,,,,,,,
36159,MUS,243,Introductory Music Ed Tech,B,CNF,120101,"Thibeault, Matthew D",,,,,,,,,,,,,,,
36191,MUS,250,University Orchestra,A,PR,120101,"Schleicher, Donald J",,,,,,,,,,,,,,,
36193,MUS,250,University Orchestra,B,PR,120101,"Bergonzi, Louis S",3.72,0.0,43.0,8.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
36192,MUS,250,University Orchestra,C,PR,120101,"Carrettin, Zachary I",,,,,,,,,,,,,,,
36398,MUS,252,Ethnomusicology Perf Ensembles,S,PR,120101,"Buchanan, Donna A",,,,,,,,,,,,,,,
52615,MUS,252,Ethnomusicology Perf Ensembles,S1,PR,120101,"Turino, Thomas R",,,,,,,,,,,,,,,
46662,MUS,252,Ethnomusicology Perf Ensembles,S2,PR,120101,"Conde, Moussa B",,,,,,,,,,,,,,,
36396,MUS,252,Ethnomusicology Perf Ensembles,S3,PR,120101,"Tse, PuiSzePriscilla",,,,,,,,,,,,,,,
36404,MUS,252,Ethnomusicology Perf Ensembles,S4,PR,120101,"Prescott, Anne",,,,,,,,,,,,,,,
45513,MUS,252,Ethnomusicology Perf Ensembles,S6,PR,120101,"Asnawa, I Ketut Gede",,,,,,,,,,,,,,,
36401,MUS,252,Ethnomusicology Perf Ensembles,S7,PR,120101,"Mitchell, Rebecca A",,,,,,,,,,,,,,,
49160,MUS,252,Ethnomusicology Perf Ensembles,S8,PR,120101,"Conde, Moussa B",,,,,,,,,,,,,,,
36319,MUS,255,Woodwind Ensemble,B,PR,120101,"Harris, James D",,,,,,,,,,,,,,,
36321,MUS,255,Woodwind Ensemble,C,PR,120101,"Dee, John",,,,,,,,,,,,,,,
