CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120118,"Kinase-Leggett, Elizabeth",3.54,9.0,9.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120118,"Kinase-Leggett, Elizabeth",3.53,5.0,10.0,4.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120118,"Davis, Thomas E",3.74,9.0,15.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120118,"Davis, Thomas E",3.86,13.0,15.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54059,AAS,120,Intro to Asian Am Pop Culture,AD1,DIS,120118,"Washington, Myra S",3.33,2.0,6.0,8.0,6.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54082,AAS,120,Intro to Asian Am Pop Culture,AD2,DIS,120118,"Washington, Myra S",,,,,,,,,,,,,,,
54083,AAS,120,Intro to Asian Am Pop Culture,AD3,DIS,120118,"Arai, Sayuri",3.09,2.0,6.0,4.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
54084,AAS,120,Intro to Asian Am Pop Culture,AD4,DIS,120118,"Arai, Sayuri",2.81,0.0,5.0,3.0,4.0,4.0,3.0,3.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0
58913,AAS,258,Muslims in America,A,LCD,120118,"Rana, Junaid",3.69,0.0,7.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58092,AAS,287,Food and Asian Americans,A,LCD,120118,"Manalansan, Martin F",3.98,1.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49989,AAS,299,Race & Ethnicity in Chicago,1,LCD,120118,"Loza, Mireya",,,,,,,,,,,,,,,
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120118,"Ngo, Fiona",,,,,,,,,,,,,,,
49995,AAS,346,Asian American Youth,A,LCD,120118,"Kwon, Soo Ah",,,,,,,,,,,,,,,
42862,AAS,365,Asian American Media and Film,A,LCD,120118,"Ono, Kent A",,,,,,,,,,,,,,,
31301,AAS,490,Immigrant America,U3,LCD,120118,"Espiritu, Augusto F",,,,,,,,,,,,,,,
58576,AAS,561,Race and Cultural Critique,A,LCD,120118,"Jung, Moon-Kie",,,,,,,,,,,,,,,
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120118,"Green, Angela R",3.62,0.0,23.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120118,"Grift, Tony E",3.24,0.0,29.0,0.0,0.0,27.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120118,"Kalita, Prasanta K",3.69,8.0,42.0,0.0,3.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120118,"Danao, Mary-Grace",,,,,,,,,,,,,,,
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120118,"Hansen, Alan C",,,,,,,,,,,,,,,
36669,ABE,430,Project Management,A,LCD,120118,"Zahos, Stephen C",,,,,,,,,,,,,,,
29655,ABE,459,Drainage and Water Management,A3,LEC,120118,"Cooke, Richard A",,,,,,,,,,,,,,,
39805,ABE,459,Drainage and Water Management,A4,LEC,120118,"Cooke, Richard A",,,,,,,,,,,,,,,
56114,ABE,463,Electrohydraulic Systems,TEG,LEC,120118,"Grift, Tony E",,,,,,,,,,,,,,,
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120118,"Hansen, Alan C",3.12,1.0,4.0,8.0,6.0,2.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
29663,ABE,483,Engrg Properties of Food Matls,A,LEC,120118,"Rausch, Kent D",,,,,,,,,,,,,,,
57478,ABE,488,Bioprocessing Biomass for Fuel,VS,LEC,120118,"Singh, Vijay",3.44,2.0,7.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55120,ABE,598,Special Topics,ACH,DIS,120118,"Hansen, Alan C",,,,,,,,,,,,,,,
