CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
32896,AAS,100,Intro Asian American Studies,AA,LCD,120105,"Kwon, Soo Ah",3.92,14,6,1,0,0,1,0,0,0,0,0,0,0,0
30561,ACCY,201,Accounting and Accountancy I,A,LCD,120105,"Feller, Anita L",,,,,,,,,,,,,,,
30562,ACCY,202,Accounting and Accountancy II,A,LCD,120105,"Finnegan, Thomas",,,,,,,,,,,,,,,
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120105,"Altiero, Elizabeth C",3.5,0,7,8,7,4,2,0,0,0,0,0,0,0,0
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120105,"White, Brian J",3.61,1,6,9,4,2,1,0,0,0,0,0,0,0,0
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120105,"Nichol, Jennifer E",3.36,0,4,8,4,8,1,0,1,0,0,0,0,0,0
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120105,"Turner, Cynthia W",3.26,0,7,2,4,8,4,2,0,0,0,0,0,0,0
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120105,"Cao, Shun",,,,,,,,,,,,,,,
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120105,"Chang, Hye Sun",3.67,4,9,2,5,4,0,0,0,0,0,0,0,0,1
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120105,"Cardamone, Salvatore",,,,,,,,,,,,,,,
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120105,"Feller, Anita L",,,,,,,,,,,,,,,
30080,ACCY,312,Principles of Taxation,A,LCD,120105,"Holder, Daniel E",3.4,1,9,2,2,7,1,0,2,0,0,0,0,0,0
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120105,"Rowe, Stephen P",,,,,,,,,,,,,,,
30074,ACCY,405,Assurance and Attestation,AE2,LCD,120105,"Zimbelman, Aaron F",,,,,,,,,,,,,,,
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PT,LCD,120105,"Brown, Clifton E",3.46,2,6,9,6,12,0,0,0,0,0,0,0,0,0
30083,ACCY,501,Accounting Analysis I,A,LCD,120105,"Ibrahim, Adel Nematallah",3.65,0,15,3,3,2,3,0,0,0,0,0,0,0,0
30086,ACCY,501,Accounting Analysis I,B,LCD,120105,"Ibrahim, Adel Nematallah",3.51,0,15,7,3,8,3,0,1,0,0,0,0,0,0
32857,ACCY,510,Financial Reporting Standards,A,LCD,120105,"Polinski, Paul W",3.51,0,3,10,11,2,0,0,0,0,0,0,0,0,0
32858,ACCY,515,Auditing & Assurance Standards,A,LCD,120105,"Nekrasz, Frank",3.67,1,10,3,3,4,0,0,0,0,0,0,0,0,0
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120105,"Shaw, Jeffrey M",3.53,7,9,5,1,4,1,3,1,0,0,0,0,0,0
33980,ACCY,560,Information in Value Creation,A,LCD,120105,"Brown, Clifton E",3.68,2,13,17,8,3,0,0,0,0,0,0,0,0,0
34580,ACCY,560,Information in Value Creation,B,LCD,120105,"Chandler, John S",3.71,4,13,21,3,4,0,0,0,0,0,0,0,0,0
34342,ACCY,560,Information in Value Creation,CHI,LCD,120105,"Chandler, John S",3.8,9,11,5,4,2,0,0,0,0,0,0,0,0,0
30119,ACE,161,Microcomputer Applications,S,LBD,120105,"Shah, Payal S",,,,,,,,,,,,,,,
35626,ACE,240,Personal Financial Planning,XM,ONL,120105,"Tang, Lisa B",,,,,,,,,,,,,,,
30132,ADV,300,Introduction to Advertising,A,LCD,120105,"Olson, Katrina M",3.54,10,10,5,2,4,3,1,1,1,0,0,0,0,0
35622,ADV,400,Branding Italian Cuisine,XM1,STA,120105,"Mincyte, Diana",,,,,,,,,,,,,,,
34825,AFRO,101,"Black America, 1619-Present",SU1,LCD,120105,"Lang, Clarence E",,,,,,,,,,,,,,,
35620,AGCM,270,Sales Communications,XM,ONL,120105,"Cupps-Miller, Heather A",3.96,0,26,0,0,1,0,0,0,0,0,0,0,0,0
32333,AGED,500,Research Methods & Design,XM,ONL,120105,"Anderson, James C",,,,,,,,,,,,,,,
35571,AIS,101,Intro to Amer Indian Studies,JL,LCD,120105,"Low, John",,,,,,,,,,,,,,,
30180,ANSC,110,Life With Animals and Biotech,1,LCD,120105,"Kesler, Darrel J",3.71,2,39,3,0,11,0,0,1,1,0,0,0,0,0
30200,ANSC,331,Biology of Reproduction,AB1,LAB,120105,"Kesler, Darrel J",,,,,,,,,,,,,,,
30211,ANTH,103,Anthro in a Changing World,1,LCD,120105,"Maas, Steven M",3.38,3,10,5,8,4,2,1,0,1,0,0,0,1,0
35687,ANTH,143,Biology of Human Behavior,ONL,ONL,120105,"Milich, Krista M",3.01,13,13,3,3,6,5,1,2,2,0,2,1,5,1
35406,ANTH,180,The Archaeology of Death,1,LCD,120105,"Silverman, Helaine I",3.92,27,6,1,1,2,0,0,0,0,0,0,0,0,0
34763,ANTH,209,"Food, Culture, and Society",1,LCD,120105,"Manalansan, Martin F",3.89,0,31,4,3,1,0,0,0,0,0,0,0,0,0
35407,ANTH,411,Methods of Cultural Anth,1U,LCD,120105,"Gottlieb, Alma J",,,,,,,,,,,,,,,
32485,ANTH,454,Archaeological Field School,XM,LCD,120105,"Pauketat, Timothy R",,,,,,,,,,,,,,,
32486,ANTH,455,Lab Analysis in Archaeology,XM,LCD,120105,"Pauketat, Timothy R",,,,,,,,,,,,,,,
33737,ARAB,201,Elementary Standard Arabic I,A1,LCD,120105,"Moshref, Ola A",,,,,,,,,,,,,,,
33738,ARAB,202,Elementary Standard Arabic II,A1,LCD,120105,"Moshref, Ola A",,,,,,,,,,,,,,,
33675,ARAB,403,Intermediate Stand Arabic I,A1,LCD,120105,"Bidaoui, Abdelaadim",,,,,,,,,,,,,,,
33676,ARAB,404,Intermediate Stand Arabic II,B1,LCD,120105,"Bidaoui, Abdelaadim",,,,,,,,,,,,,,,
33704,ARAB,405,Advanced Standard Arabic I,A1,LCD,120105,"Saadah, Eman",,,,,,,,,,,,,,,
33705,ARAB,406,Advanced Standard Arabic II,A1,LCD,120105,"Saadah, Eman",,,,,,,,,,,,,,,
34653,ARAB,407,Topics Stand Arabic Lang&Lit I,A2,LCD,120105,"Albirini, Abdulkafi",,,,,,,,,,,,,,,
34655,ARAB,408,Topics Stand Arabic LangLit II,A2,LCD,120105,"Albirini, Abdulkafi",,,,,,,,,,,,,,,
35541,ARCH,460,International Architecture,CHN,CNF,120105,"Warfield, James P",,,,,,,,,,,,,,,
35542,ARCH,461,Critical Travel Documentation,CHN,LBD,120105,"Warfield, James P",,,,,,,,,,,,,,,
30257,ARCH,475,Arch Design & Development,A,LAB,120105,"Hinders, Kevin J",,,,,,,,,,,,,,,
35593,ARTD,209,Chado (The Way of Tea),A,LAB,120105,"Gunji, Kimiko",,,,,,,,,,,,,,,
31129,ASTR,100,Perspectives in Astronomy,1,LEC,120105,"Welty, Daniel E",,,,,,,,,,,,,,,
30297,ATMS,100,Introduction to Meteorology,A,LCD,120105,"Frame, Jeffrey",2.65,4,3,3,3,9,2,2,2,3,1,1,1,3,0
35319,ATMS,492,Capstone Undergrad Research,A,CNF,120105,"Rauber, Robert M",,,,,,,,,,,,,,,
30300,AVI,101,Private Pilot I,AE1,LCD,120105,"McCormack, Alice K",,,,,,,,,,,,,,,
30593,AVI,120,Private Pilot II,AE1,LCD,120105,"McGeorge, Joseph C",,,,,,,,,,,,,,,
30599,AVI,121,Private Pilot Requalification,AE1,LCD,120105,"McGeorge, Joseph C",,,,,,,,,,,,,,,
30606,AVI,130,Commercial - Instrument I,AE1,LCD,120105,"Moore, Jonathan E",,,,,,,,,,,,,,,
30613,AVI,140,Commercial - Instrument II,AE1,LCD,120105,"Lucas, David J",,,,,,,,,,,,,,,
30623,AVI,200,Commercial Pilot I,AE1,LCD,120105,"Hinebaugh, Kristina L",,,,,,,,,,,,,,,
30630,AVI,210,Commercial Pilot II,AE1,LCD,120105,"West, Lawrence R",,,,,,,,,,,,,,,
30643,AVI,320,Flight Instructor-Airplane,AE1,LCD,120105,"Wofford, Michael G",,,,,,,,,,,,,,,
30655,AVI,322,Instrument Flight Instructor,FC,FL,120105,"Phillips, Sybil I",,,,,,,,,,,,,,,
30656,AVI,322,Instrument Flight Instructor,FD,FL,120105,"Phillips, Sybil I",,,,,,,,,,,,,,,
29880,AVI,380,Multiengine Land,F12,FL,120105,"Phillips, Sybil I",,,,,,,,,,,,,,,
29881,AVI,380,Multiengine Land,F13,FL,120105,"Phillips, Sybil I",,,,,,,,,,,,,,,
29882,AVI,380,Multiengine Land,F14,FL,120105,"Phillips, Sybil I",,,,,,,,,,,,,,,
30671,AVI,380,Multiengine Land,FB,FL,120105,"Phillips, Sybil I",,,,,,,,,,,,,,,
30672,AVI,380,Multiengine Land,FC,FL,120105,"Phillips, Sybil I",,,,,,,,,,,,,,,
30677,AVI,381,Cockpit Resource Management,AE1,LCD,120105,"Unander, Stanley A",,,,,,,,,,,,,,,
33416,AVI,497,Special Topics in Aviation,TE,DIS,120105,"Emanuel, Tom W",,,,,,,,,,,,,,,
29884,BADM,300,The Legal Environment of Bus,A,LCD,120105,"Kindt, John W",3.69,8,20,1,0,5,0,0,3,0,0,0,0,0,0
30692,BADM,300,The Legal Environment of Bus,A1,LCD,120105,"Lansing, Paul",,,,,,,,,,,,,,,
34383,BADM,300,The Legal Environment of Bus,B1,LCD,120105,"Kindt, John W",3.65,13,10,1,0,10,0,0,1,0,0,0,0,0,1
29890,BADM,310,Mgmt and Organizational Beh,B,LCD,120105,"Deng, Lina",3.81,15,5,6,2,1,1,0,0,0,0,0,0,0,0
30698,BADM,310,Mgmt and Organizational Beh,B1,LCD,120105,"Jeong, Young-Chul",3.4,9,7,3,3,0,1,0,0,1,1,1,0,1,0
29885,BADM,320,Principles of Marketing,A,LCD,120105,"Shi, Hongyan",3.94,31,7,1,0,1,1,0,0,0,0,0,0,0,0
30697,BADM,320,Principles of Marketing,B1,LCD,120105,"Ilhan, Behice E",3.35,1,4,7,5,5,4,1,0,0,0,0,0,0,0
31351,BADM,320,Principles of Marketing,B2,LCD,120105,"Kulkarni, Atul A",3.68,9,7,6,6,0,3,0,0,0,0,0,0,0,0
30702,BADM,449,Business Policy and Strategy,A1,LCD,120105,"Prince, Nicholas R",3.33,2,6,5,4,2,2,1,0,1,0,1,0,0,0
32847,BADM,520,Marketing Management,EM,LCD,120105,"Qualls, William J",3.72,0,7,26,0,1,0,0,0,0,0,0,0,0,0
35014,BADM,520,Marketing Management,X,LCD,120105,"Noel, Hayden N",3.82,5,19,14,1,2,0,0,0,0,0,0,0,0,0
34221,BADM,551,Managing Intellectual Property,MT,LCD,120105,"Kesan, Jay P",3.64,0,14,18,12,3,0,0,0,0,0,0,0,0,0
34223,BADM,552,Legal Aspects of Mgt Decisions,EM,LCD,120105,"Lansing, Paul",3.26,0,8,5,7,8,11,0,0,0,0,0,0,0,0
30705,BADM,567,Process Management,A,LCD,120105,"Chhajed, Dilip",3.55,0,12,10,6,8,1,0,0,0,0,0,0,0,0
35684,BADM,567,Process Management,B,LCD,120105,"Petruzzi, Nicholas C",3.51,1,10,7,8,8,1,0,0,0,0,0,0,0,0
30706,BADM,567,Process Management,X,LCD,120105,"Chhajed, Dilip",3.63,2,14,12,6,7,0,0,0,0,0,0,0,0,0
33608,BADM,573,Quant Analysis of Decisions,CT,LCD,120105,"Monahan, George E",,,,,,,,,,,,,,,
