CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120158,"Peralta, Christine N",,,,,,,,,,,,,,,
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120158,"Peralta, Christine N",3.72,0.0,19.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120158,"Thomas, Merin A",,,,,,,,,,,,,,,
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120158,"Thomas, Merin A",,,,,,,,,,,,,,,
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120158,"Lee, Sang S",,,,,,,,,,,,,,,
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120158,"Lee, Sang S",3.47,1.0,13.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
56496,AAS,100,Intro Asian American Studies,B,LCD,120158,"Shinozuka, Jeannie N",,,,,,,,,,,,,,,
55765,AAS,215,US Citizenship Comparatively,A,LCD,120158,"Cacho, Lisa M",2.81,1.0,3.0,5.0,4.0,1.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0
59944,AAS,291,Hinduism in the United States,RP,LCD,120158,"Pandharipande, R V",,,,,,,,,,,,,,,
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120158,"Nguyen, Mimi T",,,,,,,,,,,,,,,
51335,AAS,390,"Prison, Race, and Terror",NP,LCD,120158,"Paik, Angela N",,,,,,,,,,,,,,,
31301,AAS,490,Critical Ethnic Studies,JRU,LCD,120158,"Rana, Junaid",,,,,,,,,,,,,,,
47822,AAS,490,Race and the Environment,JSG,LCD,120158,"Shinozuka, Jeannie N",,,,,,,,,,,,,,,
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120158,"Green, Angela R",3.63,0.0,27.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
55376,ABE,199,Water in the Global Environ,CHP,LCD,120158,"Kalita, Prasanta K",3.97,2.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120158,"Grift, Tony E",3.5,1.0,29.0,9.0,10.0,7.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120158,"Kalita, Prasanta K",3.66,19.0,30.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120158,"Rausch, Kent D",,,,,,,,,,,,,,,
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120158,"Hansen, Alan C",,,,,,,,,,,,,,,
64779,ABE,430,Project Management,CL1,LEC,120158,"Davidson, Paul C",3.93,0.0,119.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29655,ABE,459,Drainage and Water Management,A3,LEC,120158,"Cooke, Richard A",,,,,,,,,,,,,,,
39805,ABE,459,Drainage and Water Management,A4,LEC,120158,"Cooke, Richard A",,,,,,,,,,,,,,,
